IdProceso,Recurso,Estado,Prioridad,FechaAlta,Descripcion
1091,SISTEMAS,COMPLETADO,Media,2024-06-15,Ampliación de RAM servidor web
1092,SOPORTE,PENDIENTE,Baja,2024-06-16,Monitor parpadea aleatoriamente
1093,DESARROLLO,PROCESANDO,Alta,2024-06-16,Cambio de lógica de negocio
1094,SEGURIDAD,COMPLETADO,Media,2024-06-17,Firewall de aplicaciones configurado
1095,REDES,PENDIENTE,Baja,2024-06-17,Pruebas de cobertura en almacén
1096,SISTEMAS,ERROR,Alta,2024-06-18,Sobretensión en rack principal
1097,SOPORTE,COMPLETADO,Media,2024-06-18,Instalación de drivers scanner
1098,DESARROLLO,PENDIENTE,Baja,2024-06-19,Ajuste de margen en logo
1099,SEGURIDAD,PROCESANDO,Alta,2024-06-19,Respuesta ante incidente phishing
1100,REDES,COMPLETADO,Media,2024-06-20,Cierre de puertos inseguros
